1 GodzillavsKong Fantascienza 2021 DISPONIBILE
2 Tenet Drammatico 2020 DISPONIBILE
3 BladeRunner2049 Fantascienza 2017 ESAURITO
4 TheHatfulEight Western 2016 DISPONIBILE
5 TheRevenant Drammatico 2016 DISPONIBILE
6 MadMax:FuryRoad Azione 2015 ESAURITO
7 Sopravissuto-TheMartian Fantascienza 2015 DISPONIBILE
8 1917 Guerra 2019 ESAURITO
9 Chebellagiornata Comico 2011 DISPONIBILE
10 GrandBudapestHotel Commedia 2014 DISPONIBILE
11 Interstellar Fantascienza 2014 DISPONIBILE
12 GreenBook Biografico 2018 DISPONIBILE
13 BlacKkKlansman Biografico 2018 DISPONIBILE
14 Dunkirk Guerra 2017 ESAURITO
15 Crudelia Commedia 2021 DISPONIBILE
16 Unaltrogiro Drammatico 2020 DISPONIBILE
17 Matrix Azione 1999 DISPONIBILE
18 Leiene Giallo 1992 DISPONIBILE
19 MissionImpossibleIII Azione 2006 DISPONIBILE
20 PacificRim-Larivolta Sci-fi 2018 DISPONIBILE
21 Avatar Sci-Fi 2009 ESAURITO
22 CaptainFantastic Drammatico 2016 ESAURITO
23 EnolaHolmes Avventura 2020 DISPONIBILE
24 Dolittle Commedia 2020 DISPONIBILE
25 Diamantigrezzi Giallo 2019 DISPONIBILE
26 Fightclub Thriller 1999 DISPONIBILE
27 TombRaider Azione 2018 DISPONIBILE
28 LaballatadiBusterScruggs Western 2018 DISPONIBILE
29 VanGogh-sullasogliadell'eternità Drammatico 2018 ESAURITO
30 Hostiles Western 2017 DISPONIBILE
